puntualidad,planificacion,dominio_contenido,participacion,evaluacion,retroalimentacion,uso_tecnologia,gestion_aula,comunicacion,empatia,asistencia,innovacion,nivel_desempeno,codigo_clase,score_global
93.43,86.1,88.26,35.89,27.15,26.27,37.79,21.71,90.49,36.29,29.38,26.99,Regular,2,49.98
30.23,16.19,19.73,22.83,25.8,79.83,23.28,35.74,38.66,30.34,8.75,86.69,Insuficiente,3,34.84
96.83,100.0,92.85,93.11,73.73,84.05,78.5,80.3,92.74,78.57,83.96,69.73,Sobresaliente,0,85.36
18.77,30.21,90.78,40.74,38.26,37.96,41.82,28.23,36.81,89.79,22.49,16.38,Insuficiente,3,41.02
87.13,93.13,21.05,80.83,91.5,83.07,84.5,84.32,84.99,43.29,85.99,83.77,Sobresaliente,0,76.96
18.26,89.2,85.16,27.93,89.97,74.99,95.01,85.45,12.79,49.55,38.24,19.83,Regular,2,57.2
74.62,81.96,73.05,36.48,81.21,21.17,23.66,83.31,77.9,29.92,32.82,30.0,Regular,2,53.84
76.73,84.05,79.51,96.63,87.53,27.72,81.8,68.91,78.83,76.07,87.96,85.77,Sobresaliente,0,77.63
84.64,96.27,80.36,85.11,81.91,87.92,86.75,78.34,82.93,17.82,93.36,92.0,Bueno,1,80.62
83.66,90.51,67.94,81.72,71.66,86.14,84.85,78.7,92.26,12.12,80.65,80.73,Bueno,1,75.91
86.4,86.29,83.61,39.11,77.32,8.75,32.26,38.46,86.55,36.52,24.47,78.19,Regular,2,56.5
25.08,50.81,86.72,24.61,49.69,53.85,30.38,28.13,19.27,83.0,31.73,21.54,Insuficiente,3,42.07
72.49,30.04,88.8,87.88,92.14,95.41,88.97,84.84,19.69,34.91,34.17,27.8,Bueno,1,63.1
20.23,34.82,84.28,77.04,40.91,19.43,24.8,46.12,19.63,23.26,32.09,26.77,Insuficiente,3,37.45
81.44,82.82,22.55,99.78,92.25,77.24,81.99,79.0,84.78,25.86,44.69,70.02,Bueno,1,70.2
87.39,93.94,88.61,4.54,78.95,44.47,5.49,82.42,83.38,25.07,74.72,11.07,Regular,2,56.67
25.95,82.63,92.05,82.19,78.66,82.87,73.96,18.82,100.0,94.16,76.13,78.01,Sobresaliente,0,73.79
11.07,73.39,100.0,94.47,90.95,82.07,84.27,45.02,88.37,71.23,91.07,100.0,Sobresaliente,0,77.66
29.34,87.9,28.4,91.77,71.03,24.57,78.24,91.23,23.74,72.71,94.99,96.53,Sobresaliente,0,65.87
79.87,89.41,79.2,84.69,92.83,100.0,76.94,81.28,28.14,91.27,75.82,81.13,Sobresaliente,0,80.05
71.9,81.69,70.53,77.72,82.74,85.23,85.71,84.16,100.0,44.26,75.49,80.37,Bueno,1,78.32
90.89,44.47,18.08,34.87,14.54,40.42,29.68,27.41,42.18,87.61,81.81,38.9,Insuficiente,3,45.9
35.01,81.7,24.13,27.61,72.68,28.6,29.23,81.17,78.17,14.98,17.24,20.73,Regular,2,42.6
87.02,92.13,87.25,39.31,93.25,36.64,16.74,91.66,85.49,37.55,30.29,41.09,Regular,2,61.54
82.22,84.64,90.55,26.57,95.05,49.47,78.32,71.16,92.18,38.14,22.93,28.32,Regular,2,63.3
82.17,72.52,26.98,86.37,92.87,68.9,71.76,67.86,77.99,28.57,89.53,84.73,Bueno,1,70.85
31.54,49.34,85.45,27.28,21.91,33.46,17.3,34.39,37.52,22.18,21.44,15.04,Insuficiente,3,33.07
87.46,87.93,84.86,100.0,89.22,48.25,86.14,83.46,92.73,93.81,74.59,93.44,Sobresaliente,0,85.16
80.26,87.46,69.55,90.76,90.96,83.65,73.94,85.04,80.7,20.85,84.32,90.83,Bueno,1,78.19
26.94,37.95,17.59,91.09,91.57,25.36,39.9,100.0,98.72,85.41,37.76,26.93,Insuficiente,3,56.6
26.28,21.32,38.64,31.6,31.39,34.55,36.73,81.21,81.47,46.73,83.61,22.62,Insuficiente,3,44.68
36.97,24.33,63.26,22.03,25.16,30.05,29.12,41.22,28.94,48.36,40.55,25.06,Insuficiente,3,34.59
84.93,86.39,84.59,76.98,30.7,23.96,86.54,79.29,76.51,86.9,89.2,70.91,Sobresaliente,0,73.08
22.47,33.48,76.22,38.07,34.14,26.42,17.26,28.43,23.89,37.07,28.6,96.64,Insuficiente,3,38.56
26.34,29.69,87.61,22.0,31.46,22.12,23.57,20.99,27.64,24.34,33.56,32.17,Insuficiente,3,31.79
91.9,82.96,100.0,71.58,89.45,89.1,54.45,75.83,75.65,39.72,52.61,41.36,Regular,2,72.05
38.07,22.56,91.08,36.85,21.5,18.16,22.09,44.95,31.6,39.58,32.95,31.19,Insuficiente,3,35.88
81.96,30.91,96.38,26.79,89.4,13.65,34.11,85.94,88.67,83.15,30.78,32.7,Regular,2,57.87
39.67,24.08,88.69,37.1,19.0,28.0,27.74,27.28,23.27,17.79,34.34,32.51,Insuficiente,3,33.29
94.68,86.22,89.26,84.61,81.95,77.67,38.28,82.6,18.62,30.14,88.9,91.96,Bueno,1,72.07
91.59,27.49,82.41,81.04,79.6,75.72,22.39,72.36,21.58,30.61,100.0,98.24,Bueno,1,65.25
86.5,89.03,82.15,20.03,86.48,41.86,8.86,80.93,89.24,14.61,28.07,15.83,Regular,2,53.63
81.33,27.86,32.0,45.71,33.64,40.43,18.56,18.98,25.47,47.14,17.21,14.84,Insuficiente,3,33.6
76.01,89.22,75.33,19.75,85.59,29.86,27.47,79.84,39.84,18.79,33.0,29.99,Regular,2,50.39
72.0,73.68,71.51,90.81,78.88,85.5,55.69,85.73,96.21,79.52,82.27,78.55,Sobresaliente,0,79.2
32.92,31.21,87.22,21.97,26.94,34.3,38.97,0.0,35.65,40.18,41.91,33.48,Insuficiente,3,35.4
75.95,80.78,97.51,82.35,80.32,95.8,88.7,85.35,80.14,72.58,75.64,81.16,Sobresaliente,0,83.02
79.36,92.85,29.72,91.85,80.67,80.96,75.78,89.62,92.5,100.0,95.32,87.0,Sobresaliente,0,82.97
45.7,83.46,84.9,47.98,91.04,24.83,31.59,76.67,79.55,5.02,19.9,44.57,Regular,2,52.93
92.26,64.77,82.25,71.72,81.55,91.77,79.96,37.73,78.24,100.0,23.29,94.02,Sobresaliente,0,74.8
73.36,28.91,100.0,76.56,71.5,87.2,89.77,88.71,76.04,92.98,78.72,16.1,Sobresaliente,0,73.32
91.77,90.73,26.91,88.18,86.86,26.83,92.92,80.9,98.89,84.15,92.88,84.28,Sobresaliente,0,78.78
83.44,81.06,97.8,27.15,96.48,86.69,86.71,82.93,87.19,26.81,36.39,27.77,Regular,2,68.37
19.94,24.68,30.42,39.56,18.77,38.29,35.8,21.36,35.39,22.36,29.58,26.74,Insuficiente,3,28.57
92.35,93.5,88.67,86.75,81.66,81.82,40.82,79.31,94.82,33.08,78.01,95.38,Bueno,1,78.85
41.82,36.81,81.9,17.13,22.11,25.9,27.84,22.65,40.66,39.21,27.42,25.23,Insuficiente,3,34.06
26.63,79.9,81.02,72.33,85.25,74.76,75.32,92.33,34.79,48.29,90.03,91.51,Sobresaliente,0,71.01
21.21,27.73,78.44,31.86,50.0,36.44,35.77,25.07,37.7,36.78,36.57,28.78,Insuficiente,3,37.2
84.13,94.6,78.7,88.28,85.46,39.26,83.23,72.51,80.74,18.26,100.0,97.12,Bueno,1,76.86
22.75,14.83,66.04,92.57,78.59,33.93,31.49,24.2,48.18,31.9,84.87,15.7,Insuficiente,3,45.42
75.46,77.92,16.65,15.9,99.3,33.09,21.19,89.15,83.46,86.59,15.22,47.97,Regular,2,55.16
13.3,33.12,83.68,37.32,29.69,41.71,34.46,39.18,33.79,30.36,22.8,4.94,Insuficiente,3,33.69
73.93,29.0,87.48,92.26,85.27,79.44,81.09,76.38,77.04,44.77,80.73,93.45,Bueno,1,75.07
95.26,79.5,73.49,44.55,95.06,45.58,18.32,82.49,30.9,83.9,87.9,27.32,Regular,2,63.69
86.43,87.42,86.6,78.74,68.17,79.63,68.79,85.54,85.04,71.6,90.51,91.93,Sobresaliente,0,81.7
29.13,3.75,79.36,26.92,29.31,36.07,17.63,35.91,26.93,24.93,28.58,39.85,Insuficiente,3,31.53
92.51,82.05,70.35,82.74,76.01,90.82,78.81,99.86,86.75,42.51,81.58,76.88,Bueno,1,80.07
18.92,76.77,91.75,72.29,81.48,94.43,78.56,85.54,81.17,39.89,87.46,88.46,Bueno,1,74.73
12.78,48.58,20.36,14.85,41.27,15.54,37.54,39.39,32.69,39.71,85.19,74.44,Insuficiente,3,38.53
89.77,93.07,93.81,84.83,74.14,73.92,95.8,90.68,85.82,81.52,85.25,85.2,Sobresaliente,0,86.15
90.88,71.99,75.36,73.48,76.11,92.03,74.33,75.79,77.39,43.43,82.28,91.9,Bueno,1,77.08
39.3,37.94,15.78,81.58,30.42,32.22,21.75,25.35,87.17,30.52,27.63,47.25,Insuficiente,3,39.74
90.27,96.34,80.02,77.77,96.61,35.02,100.0,85.41,77.93,36.95,27.62,24.79,Sobresaliente,0,69.06
87.12,75.81,75.34,20.56,79.86,68.77,35.41,79.3,57.7,26.76,17.79,88.13,Regular,2,59.38
94.29,87.46,91.25,88.96,90.83,86.17,78.37,83.21,84.41,29.49,98.01,88.36,Bueno,1,83.4
72.89,89.3,94.36,93.08,86.87,72.54,92.54,83.82,64.74,88.02,73.06,33.96,Sobresaliente,0,78.76
91.73,81.42,98.43,85.23,87.6,29.11,12.21,86.73,85.57,36.17,24.14,24.23,Regular,2,61.88
34.21,25.39,71.0,30.93,96.36,26.26,15.52,86.79,94.49,18.29,42.22,51.88,Regular,2,49.44
19.04,30.0,71.21,12.88,29.89,29.57,38.25,92.76,20.08,24.03,5.58,19.03,Insuficiente,3,32.69
73.69,84.28,78.2,92.61,84.76,98.33,90.88,91.68,30.61,86.67,90.23,92.38,Sobresaliente,0,82.86
82.5,88.32,80.42,67.89,82.74,91.02,97.64,67.47,100.0,75.98,92.66,94.87,Sobresaliente,0,85.13
81.45,94.33,90.22,84.81,90.35,82.28,93.42,84.96,89.67,74.67,87.77,71.49,Sobresaliente,0,85.45
75.67,95.68,92.97,80.41,91.65,79.12,94.01,83.26,78.58,82.02,78.87,86.54,Sobresaliente,0,84.9
84.38,81.43,89.95,24.33,94.52,86.9,30.94,83.59,73.31,92.93,38.3,26.27,Regular,2,67.24
89.19,81.47,74.6,50.89,100.0,80.71,84.85,79.74,86.16,30.18,81.79,75.39,Bueno,1,76.25
28.91,41.34,74.63,33.74,27.01,26.2,16.03,39.9,31.71,24.17,32.08,25.85,Insuficiente,3,33.46
87.83,79.98,69.25,90.99,36.61,76.57,73.94,86.54,78.14,34.19,82.42,93.15,Bueno,1,74.14
97.09,92.61,86.44,29.87,93.01,17.49,38.58,81.24,35.04,31.89,25.6,24.97,Regular,2,54.49
88.04,49.02,24.15,49.9,85.6,36.06,92.61,76.69,87.28,81.02,78.22,41.84,Sobresaliente,0,65.87
22.34,36.38,90.83,29.73,22.21,38.77,54.77,21.58,14.38,22.0,88.6,17.14,Insuficiente,3,38.23
85.33,71.29,12.21,19.88,100.0,94.57,41.32,28.0,32.19,41.58,42.59,78.72,Bueno,1,53.97
89.06,72.7,84.54,36.05,81.3,38.68,34.02,84.48,77.67,40.33,24.37,23.63,Regular,2,57.24
90.85,87.2,91.28,19.96,86.56,38.71,48.47,87.21,73.54,22.49,27.38,33.28,Regular,2,58.91
84.56,87.47,28.75,82.08,80.2,78.09,66.96,82.32,92.18,88.05,80.19,84.88,Sobresaliente,0,77.98
85.77,86.32,86.78,32.04,90.94,79.76,25.73,39.33,80.66,24.11,30.93,22.22,Regular,2,57.05
39.92,37.84,75.98,25.86,10.95,23.02,34.78,18.89,43.82,44.64,26.23,39.42,Insuficiente,3,35.11
32.52,89.95,85.6,84.58,82.41,82.97,93.83,90.31,77.56,98.01,75.16,90.85,Bueno,1,81.98
82.41,97.1,88.87,81.39,91.37,78.81,77.52,24.0,87.07,30.18,84.38,81.72,Sobresaliente,0,75.4
43.09,28.82,93.7,27.05,30.81,40.39,40.55,39.7,27.67,36.58,15.26,43.19,Insuficiente,3,38.9
93.67,91.79,75.52,81.74,80.62,81.68,76.01,88.48,86.83,25.52,80.95,95.33,Bueno,1,79.85
81.04,88.11,83.69,80.66,81.79,90.51,93.13,92.69,91.04,26.06,77.45,82.95,Bueno,1,80.76
88.13,36.39,87.89,83.54,78.45,88.47,81.76,72.44,40.03,99.15,72.88,86.78,Sobresaliente,0,76.33
87.44,97.52,32.53,68.65,88.0,81.9,84.1,93.41,88.76,82.89,92.14,88.48,Bueno,1,82.15
90.46,83.9,90.94,90.71,19.3,37.77,88.58,91.99,95.88,34.51,84.24,90.41,Bueno,1,74.89
29.08,81.01,78.4,27.86,34.22,39.34,9.97,33.28,37.39,18.0,49.04,22.78,Insuficiente,3,38.36
77.47,78.47,14.23,18.81,18.51,77.47,100.0,89.51,100.0,31.13,90.45,77.49,Bueno,1,64.46
88.93,85.58,34.01,34.2,36.02,70.55,47.43,76.19,90.05,97.32,33.05,22.81,Regular,2,59.68
90.32,78.93,83.87,37.01,89.95,82.32,88.99,55.32,82.11,76.8,94.05,84.78,Sobresaliente,0,78.71
17.81,32.4,84.1,18.48,21.39,22.11,39.68,34.66,32.43,80.27,25.29,34.82,Insuficiente,3,36.95
96.54,84.55,84.45,82.67,85.74,32.7,84.33,76.32,82.01,100.0,84.44,83.09,Sobresaliente,0,81.4
81.19,100.0,86.11,78.97,85.81,76.68,78.91,27.45,80.57,81.39,35.18,44.51,Sobresaliente,0,71.4
71.86,87.91,83.71,28.44,23.38,30.51,26.37,77.1,87.45,42.52,31.97,34.84,Regular,2,52.17
29.29,26.1,29.23,82.75,94.35,24.64,41.59,90.84,44.16,18.3,16.26,31.29,Insuficiente,3,44.07
25.71,78.74,76.12,31.21,19.71,25.5,18.26,27.48,92.03,82.57,93.04,36.81,Insuficiente,3,50.6
87.25,84.24,41.5,19.87,89.85,41.84,30.75,74.68,83.88,34.97,15.57,15.12,Regular,2,51.63
94.19,91.22,77.07,87.56,100.0,97.48,84.55,92.18,12.29,22.14,44.45,86.97,Bueno,1,74.17
74.55,88.27,16.36,21.02,96.48,40.38,36.83,86.69,79.6,33.0,25.61,42.66,Regular,2,53.45
88.56,82.84,78.65,16.91,89.06,18.0,13.18,78.26,70.04,45.25,30.43,26.32,Regular,2,53.13
78.84,31.0,77.47,93.04,68.18,24.63,100.0,33.81,75.92,84.86,95.32,83.72,Sobresaliente,0,70.56
39.88,34.46,48.74,33.45,47.62,89.4,55.98,30.78,29.78,43.66,25.53,26.06,Insuficiente,3,42.11
85.34,73.05,75.53,90.22,92.2,78.68,82.38,86.62,70.53,31.3,97.47,100.0,Bueno,1,80.28
83.59,96.66,88.87,78.36,85.02,91.91,54.01,77.81,91.08,87.02,93.84,96.12,Bueno,1,85.36
76.48,26.11,78.93,29.49,27.9,14.97,24.31,39.91,44.2,28.93,25.09,43.31,Insuficiente,3,38.3
75.41,76.84,17.29,21.89,76.08,88.56,45.75,80.17,40.37,31.88,41.99,31.92,Regular,2,52.35
19.67,75.34,81.2,93.53,83.73,78.5,74.41,89.29,25.26,19.74,85.43,93.36,Bueno,1,68.29
22.94,23.16,81.89,85.15,42.24,33.9,39.93,26.49,33.53,95.8,41.96,38.3,Insuficiente,3,47.11
99.35,40.37,84.67,81.68,92.06,21.98,84.24,73.18,70.34,87.79,91.17,91.43,Sobresaliente,0,76.52
76.79,92.94,85.83,55.76,100.0,21.35,34.8,70.71,46.48,40.59,26.31,36.75,Regular,2,57.36
25.29,88.02,82.64,34.98,80.56,90.33,92.09,84.65,99.66,24.7,82.74,98.32,Bueno,1,73.67
80.85,27.66,29.12,84.16,58.2,25.54,29.42,82.0,74.9,32.7,42.96,31.85,Regular,2,49.95
33.41,28.09,88.89,25.44,86.47,45.51,79.53,86.85,23.89,26.72,11.67,28.69,Insuficiente,3,47.1
93.11,88.26,87.48,34.35,83.93,86.76,81.79,85.78,78.4,97.27,100.0,81.88,Sobresaliente,0,83.25
33.12,40.91,20.49,11.1,23.9,28.75,37.98,40.59,42.2,45.31,37.38,31.34,Insuficiente,3,32.75
22.62,29.14,77.48,71.41,22.86,42.93,37.8,28.91,12.94,36.99,39.03,29.3,Insuficiente,3,37.62
80.15,30.86,96.99,83.7,83.65,81.67,100.0,97.42,89.12,23.36,32.04,15.42,Bueno,1,67.86
74.31,75.14,92.37,77.64,99.14,73.59,88.32,75.63,86.29,23.14,85.23,83.67,Bueno,1,77.87
83.67,80.09,78.19,87.99,80.95,89.08,27.07,85.95,72.57,9.08,92.04,82.77,Bueno,1,72.45
34.83,23.06,81.54,23.89,52.43,23.85,59.55,29.91,27.72,43.5,27.43,33.83,Insuficiente,3,38.46
76.44,86.46,76.52,94.08,100.0,32.77,83.25,30.36,85.97,85.82,97.38,74.45,Sobresaliente,0,76.96
87.08,68.62,100.0,21.68,81.75,90.68,38.54,46.31,98.19,40.57,39.76,15.77,Regular,2,60.74
29.99,91.48,13.49,28.41,72.34,43.66,53.08,85.66,88.14,28.61,30.03,31.73,Regular,2,49.72
92.75,81.55,90.79,89.62,82.4,87.25,76.06,84.03,93.31,23.97,90.27,85.33,Bueno,1,81.44
26.86,22.44,93.27,34.64,17.77,41.2,7.19,55.25,15.95,35.7,39.05,73.92,Insuficiente,3,38.6
86.53,88.21,80.93,79.07,90.98,27.78,80.05,97.42,63.34,79.46,90.5,39.96,Sobresaliente,0,75.35
24.78,88.03,95.67,22.36,71.17,18.87,80.18,100.0,84.94,85.22,9.7,44.63,Regular,2,60.46
75.34,82.26,78.62,31.65,25.54,25.3,36.1,73.06,88.37,24.61,32.56,32.39,Regular,2,50.48
93.34,90.42,83.74,25.23,71.53,25.41,27.87,92.04,14.42,18.36,34.8,29.41,Regular,2,50.55
41.45,19.35,80.62,16.2,34.66,32.4,26.14,23.75,15.39,22.06,87.96,26.62,Insuficiente,3,35.55
85.82,83.29,77.1,72.22,77.46,96.62,100.0,90.2,94.49,27.0,84.38,87.26,Sobresaliente,0,81.32
89.83,69.51,85.95,78.32,85.96,35.6,28.52,81.94,75.53,43.03,36.89,88.64,Regular,2,66.64
97.19,47.77,67.29,96.61,83.41,93.99,84.65,81.99,81.38,96.79,96.48,67.9,Sobresaliente,0,82.96
79.65,25.0,94.57,17.4,43.65,23.43,28.06,46.48,27.36,14.09,20.35,26.04,Insuficiente,3,37.17
85.44,81.29,95.62,31.27,74.9,82.68,29.38,76.64,25.98,33.19,35.63,36.41,Regular,2,57.37
84.05,78.5,92.4,46.1,80.25,94.3,82.61,82.53,85.99,78.98,81.47,83.72,Sobresaliente,0,80.91
83.31,87.23,92.06,88.33,88.09,78.91,74.69,85.49,79.32,74.54,74.87,81.08,Sobresaliente,0,82.33
87.26,84.2,93.23,100.0,91.74,84.72,83.62,37.97,77.75,76.97,81.84,81.58,Sobresaliente,0,81.74
91.06,76.9,100.0,75.93,84.67,73.73,95.83,88.86,92.4,25.32,84.76,86.7,Bueno,1,81.35
81.85,75.1,69.8,84.66,82.74,97.09,41.58,88.56,95.97,68.99,90.38,13.27,Regular,2,74.17
79.82,86.31,71.63,81.94,92.87,74.99,93.58,87.7,76.65,23.5,81.33,38.53,Sobresaliente,0,74.07
77.99,24.62,81.29,93.36,94.79,73.97,80.96,82.45,75.55,33.77,85.71,27.47,Bueno,1,69.33
89.83,85.77,67.19,40.74,87.97,24.8,51.09,78.51,94.76,25.21,27.66,22.43,Regular,2,58.0
37.98,42.26,80.91,20.75,26.0,22.65,36.85,29.14,30.29,34.35,25.5,41.09,Insuficiente,3,35.65
82.03,75.93,80.86,26.61,39.26,27.06,90.08,85.07,79.96,35.27,92.55,39.75,Regular,2,62.87
98.98,72.62,81.21,31.73,94.42,77.9,89.79,82.22,100.0,19.71,83.55,81.95,Bueno,1,76.17
95.53,93.6,74.84,92.61,81.26,35.2,33.77,84.01,89.5,58.22,27.15,30.76,Regular,2,66.37
89.71,71.02,89.84,89.87,19.39,86.5,86.89,80.89,80.1,42.32,82.59,74.18,Bueno,1,74.44
87.72,93.26,87.74,93.42,86.07,94.84,94.96,84.2,96.51,86.32,85.7,6.22,Sobresaliente,0,83.08
84.67,74.59,83.41,27.62,78.63,85.34,24.63,42.35,42.51,30.16,42.44,33.37,Regular,2,54.14
26.91,24.53,100.0,35.9,86.11,22.59,31.91,75.92,86.74,88.03,34.72,19.11,Regular,2,52.71
25.42,43.38,88.14,26.41,41.84,92.56,29.64,28.76,24.13,80.78,30.47,15.88,Insuficiente,3,43.95
89.49,83.61,83.08,93.83,91.22,76.68,82.49,15.95,73.53,32.39,84.15,86.03,Bueno,1,74.37
79.0,73.44,75.29,91.42,88.29,75.31,75.96,80.13,89.05,31.52,83.29,67.41,Bueno,1,75.84
77.38,86.51,86.31,81.24,37.54,93.23,94.04,31.98,86.52,25.96,76.17,18.68,Bueno,1,66.3
74.4,98.78,96.68,29.94,91.17,88.03,64.09,87.0,84.51,85.67,76.39,82.85,Sobresaliente,0,79.96
32.16,32.23,79.74,28.72,8.06,14.57,17.81,32.86,42.13,28.38,27.36,41.2,Insuficiente,3,32.1
89.17,95.6,73.81,18.85,81.56,27.75,24.5,80.59,95.08,20.25,34.3,33.34,Regular,2,56.23
34.64,43.62,80.78,41.9,74.2,21.23,19.97,47.11,24.15,37.76,9.66,31.15,Insuficiente,3,38.85
100.0,100.0,74.72,84.64,77.33,83.76,80.64,84.33,31.66,92.29,86.92,84.89,Bueno,1,81.77
70.58,85.55,83.04,96.02,100.0,83.06,92.72,92.88,29.94,14.64,97.38,41.69,Bueno,1,73.96
92.19,88.61,72.09,40.26,31.38,18.12,30.28,79.24,87.02,42.46,42.09,15.51,Regular,2,53.27
82.23,76.13,84.47,91.99,81.86,83.18,83.23,85.88,72.26,50.16,78.16,92.08,Sobresaliente,0,80.13
80.14,87.79,93.14,100.0,94.56,93.18,94.15,95.68,81.99,24.08,28.94,83.97,Bueno,1,79.8
92.67,79.7,81.94,88.49,85.49,85.4,82.71,70.53,83.2,67.26,87.97,79.19,Sobresaliente,0,82.05
89.54,93.5,87.3,28.01,92.57,75.86,33.92,70.99,69.32,25.11,38.46,26.12,Regular,2,60.89
57.63,26.07,86.69,92.67,22.74,79.23,35.01,22.19,35.62,43.11,19.87,8.27,Insuficiente,3,44.09
94.18,74.67,88.73,89.88,89.47,88.73,97.15,88.9,91.86,89.51,99.34,69.8,Sobresaliente,0,88.52
86.19,77.56,86.34,28.66,79.86,21.78,48.73,91.53,87.44,33.96,24.77,40.72,Regular,2,58.96
76.48,81.34,73.89,97.95,95.37,91.02,75.41,86.38,83.12,85.65,83.5,89.16,Sobresaliente,0,84.94
85.7,83.51,89.48,86.27,90.28,81.63,85.39,79.64,79.69,83.87,83.86,75.62,Sobresaliente,0,83.74
40.38,26.77,90.62,0.0,22.85,25.53,32.71,43.4,28.13,19.81,38.39,45.53,Insuficiente,3,34.51
81.38,92.05,79.76,12.86,89.13,40.03,37.96,75.06,91.87,33.91,24.62,26.9,Regular,2,57.13
83.24,44.32,92.78,43.18,89.07,42.15,20.16,32.02,19.49,36.75,35.88,80.21,Insuficiente,3,51.6
100.0,85.11,83.11,24.46,84.73,86.95,75.95,69.16,87.36,29.88,87.07,26.65,Bueno,1,70.04
92.18,88.65,93.24,80.6,77.39,92.44,76.48,67.72,93.2,79.21,82.55,73.82,Sobresaliente,0,83.12
79.32,95.18,85.92,78.32,82.62,28.07,27.99,95.3,90.12,38.44,30.78,30.92,Regular,2,63.58
84.51,83.84,72.49,28.34,80.08,28.07,34.58,81.06,87.79,13.05,30.36,33.62,Regular,2,54.81
77.42,84.51,30.46,100.0,78.19,84.03,83.69,88.5,27.5,81.08,18.49,71.87,Sobresaliente,0,68.81
91.1,75.41,85.6,89.61,83.49,90.46,84.47,90.34,36.47,79.59,86.63,81.29,Sobresaliente,0,81.2
