invoice_id,date,time,city,product,category,quantity,unit_price,cogs,vat,total,payment_method,gender,customer_type
T-100006,23/03/26,20:35,Progreso de Obregón,Refresco,Bebidas,1,18.81,18.81,3.01,21.82,Efectivo,Female,Member
T-100006,23/03/26,20:35,Progreso de Obregón,Queso,Lácteos,3,52.46,157.38,25.18,182.56,Efectivo,Female,Member
T-100006,23/03/26,20:35,Progreso de Obregón,Detergente,Limpieza,3,75.87,227.61,36.42,264.03,Efectivo,Female,Member
T-100006,23/03/26,20:35,Progreso de Obregón,Pan blanco,Panadería,2,35.59,71.18,11.39,82.57,Efectivo,Female,Member
T-100006,23/03/26,20:35,Progreso de Obregón,Sabritas,Snacks,3,18.53,55.59,8.89,64.48,Efectivo,Female,Member
T-100007,28/01/26,19:31,Progreso de Obregón,Cerveza,Bebidas,2,24.72,49.44,7.91,57.35,Efectivo,Female,Member
T-100007,28/01/26,19:31,Progreso de Obregón,Refresco,Bebidas,3,17.82,53.46,8.55,62.01,Efectivo,Female,Member
T-100007,28/01/26,19:31,Progreso de Obregón,Yogurt,Lácteos,4,16.38,65.52,10.48,76,Efectivo,Female,Member
T-100007,28/01/26,19:31,Progreso de Obregón,Sabritas,Snacks,4,19.72,78.88,12.62,91.5,Efectivo,Female,Member
T-100008,16/02/26,12:08,Progreso de Obregón,Pan blanco,Panadería,2,35.35,70.7,11.31,82.01,Tarjeta débito,Male,Member
T-100008,16/02/26,12:08,Progreso de Obregón,Galletas,Snacks,2,25.17,50.34,8.05,58.39,Tarjeta débito,Male,Member
T-100008,16/02/26,12:08,Progreso de Obregón,Queso,Lácteos,4,51.37,205.48,32.88,238.36,Tarjeta débito,Male,Member
T-100008,16/02/26,12:08,Progreso de Obregón,Sabritas,Snacks,1,20.99,20.99,3.36,24.35,Tarjeta débito,Male,Member
T-100008,16/02/26,12:08,Progreso de Obregón,Detergente,Limpieza,4,70.88,283.52,45.36,328.88,Tarjeta débito,Male,Member
T-100009,18/03/26,16:33,Progreso de Obregón,Galletas,Snacks,3,25.14,75.42,12.07,87.49,Efectivo,Male,Member
T-100009,18/03/26,16:33,Progreso de Obregón,Queso,Lácteos,3,53.26,159.78,25.56,185.34,Efectivo,Male,Member
T-100009,18/03/26,16:33,Progreso de Obregón,Pan blanco,Panadería,3,34.74,104.22,16.68,120.9,Efectivo,Male,Member
T-100009,18/03/26,16:33,Progreso de Obregón,Detergente,Limpieza,2,71.68,143.36,22.94,166.3,Efectivo,Male,Member
T-100009,18/03/26,16:33,Progreso de Obregón,Arroz,Abarrotes,1,28.87,28.87,4.62,33.49,Efectivo,Male,Member
T-100010,03/02/26,17:48,Progreso de Obregón,Galletas,Snacks,2,26.62,53.24,8.52,61.76,Efectivo,Male,Normal
T-100010,03/02/26,17:48,Progreso de Obregón,Huevo,Abarrotes,3,41.07,123.21,19.71,142.92,Efectivo,Male,Normal
T-100010,03/02/26,17:48,Progreso de Obregón,Queso,Lácteos,2,52.77,105.54,16.89,122.43,Efectivo,Male,Normal
T-100010,03/02/26,17:48,Progreso de Obregón,Frijol,Abarrotes,1,31.93,31.93,5.11,37.04,Efectivo,Male,Normal
T-100010,03/02/26,17:48,Progreso de Obregón,Sabritas,Snacks,3,19.85,59.55,9.53,69.08,Efectivo,Male,Normal
T-100011,04/03/26,9:07,Progreso de Obregón,Leche,Lácteos,2,24.13,48.26,7.72,55.98,Tarjeta crédito,Female,Member
T-100011,04/03/26,9:07,Progreso de Obregón,Sabritas,Snacks,1,21.15,21.15,3.38,24.53,Tarjeta crédito,Female,Member
T-100011,04/03/26,9:07,Progreso de Obregón,Pan blanco,Panadería,4,36.92,147.68,23.63,171.31,Tarjeta crédito,Female,Member
T-100011,04/03/26,9:07,Progreso de Obregón,Pan blanco,Panadería,2,36.73,73.46,11.75,85.21,Tarjeta crédito,Female,Member
T-100011,04/03/26,9:07,Progreso de Obregón,Huevo,Abarrotes,4,41.86,167.44,26.79,194.23,Tarjeta crédito,Female,Member
T-100012,12/03/26,11:16,Progreso de Obregón,Frijol,Abarrotes,2,28.3,56.6,9.06,65.66,Tarjeta débito,Female,Member
T-100012,12/03/26,11:16,Progreso de Obregón,Yogurt,Lácteos,3,14.89,44.67,7.15,51.82,Tarjeta débito,Female,Member
T-100012,12/03/26,11:16,Progreso de Obregón,Detergente,Limpieza,3,71.46,214.38,34.3,248.68,Tarjeta débito,Female,Member
T-100013,26/02/26,17:28,Progreso de Obregón,Papel higiénico,Limpieza,1,58.98,58.98,9.44,68.42,Efectivo,Male,Member
T-100013,26/02/26,17:28,Progreso de Obregón,Sabritas,Snacks,2,21.55,43.1,6.9,50,Efectivo,Male,Member
T-100013,26/02/26,17:28,Progreso de Obregón,Sabritas,Snacks,2,21.3,42.6,6.82,49.42,Efectivo,Male,Member
T-100013,26/02/26,17:28,Progreso de Obregón,Leche,Lácteos,1,22.57,22.57,3.61,26.18,Efectivo,Male,Member
T-100013,26/02/26,17:28,Progreso de Obregón,Yogurt,Lácteos,1,16.07,16.07,2.57,18.64,Efectivo,Male,Member
T-100014,30/01/26,10:57,Progreso de Obregón,Frijol,Abarrotes,2,31.7,63.4,10.14,73.54,Efectivo,Female,Member
T-100014,30/01/26,10:57,Progreso de Obregón,Cerveza,Bebidas,4,24.64,98.56,15.77,114.33,Efectivo,Female,Member
T-100014,30/01/26,10:57,Progreso de Obregón,Refresco,Bebidas,2,16.92,33.84,5.41,39.25,Efectivo,Female,Member
T-100014,30/01/26,10:57,Progreso de Obregón,Yogurt,Lácteos,4,15.04,60.16,9.63,69.79,Efectivo,Female,Member
T-100015,01/02/26,16:51,Progreso de Obregón,Galletas,Snacks,4,26.18,104.72,16.76,121.48,Efectivo,Male,Member
T-100015,01/02/26,16:51,Progreso de Obregón,Papel higiénico,Limpieza,4,59.24,236.96,37.91,274.87,Efectivo,Male,Member
T-100015,01/02/26,16:51,Progreso de Obregón,Detergente,Limpieza,4,77.5,310,49.6,359.6,Efectivo,Male,Member
T-100016,07/01/26,19:41,Progreso de Obregón,Detergente,Limpieza,3,68.91,206.73,33.08,239.81,Tarjeta crédito,Male,Member
T-100016,07/01/26,19:41,Progreso de Obregón,Queso,Lácteos,1,52.48,52.48,8.4,60.88,Tarjeta crédito,Male,Member
T-100016,07/01/26,19:41,Progreso de Obregón,Refresco,Bebidas,2,19.13,38.26,6.12,44.38,Tarjeta crédito,Male,Member
T-100016,07/01/26,19:41,Progreso de Obregón,Refresco,Bebidas,4,18.74,74.96,11.99,86.95,Tarjeta crédito,Male,Member
T-100017,18/01/26,15:11,Progreso de Obregón,Arroz,Abarrotes,1,30.62,30.62,4.9,35.52,Efectivo,Male,Member
T-100017,18/01/26,15:11,Progreso de Obregón,Leche,Lácteos,1,23.44,23.44,3.75,27.19,Efectivo,Male,Member
T-100017,18/01/26,15:11,Progreso de Obregón,Pan blanco,Panadería,2,37.82,75.64,12.1,87.74,Efectivo,Male,Member
T-100017,18/01/26,15:11,Progreso de Obregón,Huevo,Abarrotes,4,48.9,195.6,31.3,226.9,Efectivo,Male,Member
T-100018,04/03/26,16:13,Progreso de Obregón,Detergente,Limpieza,1,79.52,79.52,12.72,92.24,Tarjeta crédito,Male,Member
T-100018,04/03/26,16:13,Progreso de Obregón,Detergente,Limpieza,3,77.61,232.83,37.25,270.08,Tarjeta crédito,Male,Member
T-100018,04/03/26,16:13,Progreso de Obregón,Queso,Lácteos,4,45.06,180.24,28.84,209.08,Tarjeta crédito,Male,Member
T-100018,04/03/26,16:13,Progreso de Obregón,Cerveza,Bebidas,4,24.83,99.32,15.89,115.21,Tarjeta crédito,Male,Member
T-100019,31/03/26,20:50,Progreso de Obregón,Refresco,Bebidas,3,18.26,54.78,8.76,63.54,Tarjeta débito,Female,Member
T-100019,31/03/26,20:50,Progreso de Obregón,Refresco,Bebidas,1,17.29,17.29,2.77,20.06,Tarjeta débito,Female,Member
T-100019,31/03/26,20:50,Progreso de Obregón,Sabritas,Snacks,1,19.27,19.27,3.08,22.35,Tarjeta débito,Female,Member
T-100019,31/03/26,20:50,Progreso de Obregón,Yogurt,Lácteos,3,16.38,49.14,7.86,57,Tarjeta débito,Female,Member
T-100020,08/01/26,9:37,Progreso de Obregón,Frijol,Abarrotes,1,32.35,32.35,5.18,37.53,Efectivo,Male,Member
T-100020,08/01/26,9:37,Progreso de Obregón,Huevo,Abarrotes,1,48.14,48.14,7.7,55.84,Efectivo,Male,Member
T-100020,08/01/26,9:37,Progreso de Obregón,Sabritas,Snacks,1,19.62,19.62,3.14,22.76,Efectivo,Male,Member
T-100021,28/03/26,12:25,Progreso de Obregón,Sabritas,Snacks,1,18.05,18.05,2.89,20.94,Efectivo,Male,Member
T-100021,28/03/26,12:25,Progreso de Obregón,Detergente,Limpieza,3,68.7,206.1,32.98,239.08,Efectivo,Male,Member
T-100021,28/03/26,12:25,Progreso de Obregón,Cerveza,Bebidas,2,24.06,48.12,7.7,55.82,Efectivo,Male,Member
T-100022,27/03/26,20:20,Progreso de Obregón,Galletas,Snacks,3,22.58,67.74,10.84,78.58,Efectivo,Female,Member
T-100022,27/03/26,20:20,Progreso de Obregón,Arroz,Abarrotes,3,25.3,75.9,12.14,88.04,Efectivo,Female,Member
T-100022,27/03/26,20:20,Progreso de Obregón,Queso,Lácteos,1,54.17,54.17,8.67,62.84,Efectivo,Female,Member
T-100022,27/03/26,20:20,Progreso de Obregón,Leche,Lácteos,4,22.91,91.64,14.66,106.3,Efectivo,Female,Member
T-100023,21/03/26,18:06,Progreso de Obregón,Huevo,Abarrotes,3,43.28,129.84,20.77,150.61,Efectivo,Male,Normal
T-100023,21/03/26,18:06,Progreso de Obregón,Pan blanco,Panadería,2,32.43,64.86,10.38,75.24,Efectivo,Male,Normal
T-100023,21/03/26,18:06,Progreso de Obregón,Papel higiénico,Limpieza,3,60.14,180.42,28.87,209.29,Efectivo,Male,Normal
T-100023,21/03/26,18:06,Progreso de Obregón,Huevo,Abarrotes,4,40.55,162.2,25.95,188.15,Efectivo,Male,Normal
T-100024,11/03/26,20:19,Progreso de Obregón,Galletas,Snacks,1,27.19,27.19,4.35,31.54,Tarjeta débito,Male,Normal
T-100024,11/03/26,20:19,Progreso de Obregón,Huevo,Abarrotes,3,44.23,132.69,21.23,153.92,Tarjeta débito,Male,Normal
T-100024,11/03/26,20:19,Progreso de Obregón,Pan blanco,Panadería,1,34.32,34.32,5.49,39.81,Tarjeta débito,Male,Normal
T-100025,12/03/26,11:17,Progreso de Obregón,Refresco,Bebidas,3,17.61,52.83,8.45,61.28,Efectivo,Male,Normal
T-100025,12/03/26,11:17,Progreso de Obregón,Frijol,Abarrotes,4,27.42,109.68,17.55,127.23,Efectivo,Male,Normal
T-100025,12/03/26,11:17,Progreso de Obregón,Cerveza,Bebidas,1,25.69,25.69,4.11,29.8,Efectivo,Male,Normal
T-100026,12/01/26,19:27,Progreso de Obregón,Papel higiénico,Limpieza,2,62.8,125.6,20.1,145.7,Tarjeta crédito,Male,Member
T-100026,12/01/26,19:27,Progreso de Obregón,Galletas,Snacks,3,25.88,77.64,12.42,90.06,Tarjeta crédito,Male,Member
T-100026,12/01/26,19:27,Progreso de Obregón,Huevo,Abarrotes,4,41.75,167,26.72,193.72,Tarjeta crédito,Male,Member
T-100027,12/03/26,20:27,Progreso de Obregón,Yogurt,Lácteos,2,15.24,30.48,4.88,35.36,Tarjeta débito,Male,Member
T-100027,12/03/26,20:27,Progreso de Obregón,Frijol,Abarrotes,1,30.42,30.42,4.87,35.29,Tarjeta débito,Male,Member
T-100027,12/03/26,20:27,Progreso de Obregón,Papel higiénico,Limpieza,2,64.42,128.84,20.61,149.45,Tarjeta débito,Male,Member
T-100027,12/03/26,20:27,Progreso de Obregón,Detergente,Limpieza,2,73.19,146.38,23.42,169.8,Tarjeta débito,Male,Member
T-100027,12/03/26,20:27,Progreso de Obregón,Leche,Lácteos,3,21.43,64.29,10.29,74.58,Tarjeta débito,Male,Member
T-100028,16/02/26,9:57,Progreso de Obregón,Papel higiénico,Limpieza,4,61.42,245.68,39.31,284.99,Efectivo,Male,Member
T-100028,16/02/26,9:57,Progreso de Obregón,Sabritas,Snacks,2,20.53,41.06,6.57,47.63,Efectivo,Male,Member
T-100028,16/02/26,9:57,Progreso de Obregón,Refresco,Bebidas,2,17.89,35.78,5.72,41.5,Efectivo,Male,Member
T-100028,16/02/26,9:57,Progreso de Obregón,Queso,Lácteos,2,49.43,98.86,15.82,114.68,Efectivo,Male,Member
T-100028,16/02/26,9:57,Progreso de Obregón,Detergente,Limpieza,1,74.91,74.91,11.99,86.9,Efectivo,Male,Member
T-100029,23/01/26,20:59,Progreso de Obregón,Cerveza,Bebidas,2,26.81,53.62,8.58,62.2,Efectivo,Female,Member
T-100029,23/01/26,20:59,Progreso de Obregón,Queso,Lácteos,1,49.61,49.61,7.94,57.55,Efectivo,Female,Member
T-100029,23/01/26,20:59,Progreso de Obregón,Detergente,Limpieza,1,81.6,81.6,13.06,94.66,Efectivo,Female,Member
T-100029,23/01/26,20:59,Progreso de Obregón,Arroz,Abarrotes,2,28.02,56.04,8.97,65.01,Efectivo,Female,Member
T-100029,23/01/26,20:59,Progreso de Obregón,Refresco,Bebidas,4,19.62,78.48,12.56,91.04,Efectivo,Female,Member
T-100030,14/02/26,13:52,Progreso de Obregón,Leche,Lácteos,2,23.46,46.92,7.51,54.43,Tarjeta débito,Male,Member
T-100030,14/02/26,13:52,Progreso de Obregón,Detergente,Limpieza,3,72.94,218.82,35.01,253.83,Tarjeta débito,Male,Member
T-100030,14/02/26,13:52,Progreso de Obregón,Cerveza,Bebidas,1,26.82,26.82,4.29,31.11,Tarjeta débito,Male,Member
T-100030,14/02/26,13:52,Progreso de Obregón,Queso,Lácteos,3,46.1,138.3,22.13,160.43,Tarjeta débito,Male,Member
T-100031,14/02/26,19:32,Progreso de Obregón,Pan blanco,Panadería,3,37.98,113.94,18.23,132.17,Efectivo,Female,Member
T-100031,14/02/26,19:32,Progreso de Obregón,Huevo,Abarrotes,3,46.18,138.54,22.17,160.71,Efectivo,Female,Member
T-100031,14/02/26,19:32,Progreso de Obregón,Leche,Lácteos,1,20.04,20.04,3.21,23.25,Efectivo,Female,Member
T-100031,14/02/26,19:32,Progreso de Obregón,Sabritas,Snacks,4,20.58,82.32,13.17,95.49,Efectivo,Female,Member
T-100031,14/02/26,19:32,Progreso de Obregón,Papel higiénico,Limpieza,3,65.69,197.07,31.53,228.6,Efectivo,Female,Member
T-100032,25/02/26,18:32,Progreso de Obregón,Leche,Lácteos,4,20.11,80.44,12.87,93.31,Efectivo,Male,Normal
T-100032,25/02/26,18:32,Progreso de Obregón,Leche,Lácteos,2,22.24,44.48,7.12,51.6,Efectivo,Male,Normal
T-100032,25/02/26,18:32,Progreso de Obregón,Papel higiénico,Limpieza,4,62.97,251.88,40.3,292.18,Efectivo,Male,Normal
T-100032,25/02/26,18:32,Progreso de Obregón,Pan blanco,Panadería,3,37.17,111.51,17.84,129.35,Efectivo,Male,Normal
T-100033,21/03/26,14:42,Progreso de Obregón,Galletas,Snacks,4,24.57,98.28,15.72,114,Tarjeta crédito,Female,Normal
T-100033,21/03/26,14:42,Progreso de Obregón,Papel higiénico,Limpieza,4,56.45,225.8,36.13,261.93,Tarjeta crédito,Female,Normal
T-100033,21/03/26,14:42,Progreso de Obregón,Yogurt,Lácteos,3,13.63,40.89,6.54,47.43,Tarjeta crédito,Female,Normal
T-100033,21/03/26,14:42,Progreso de Obregón,Frijol,Abarrotes,2,30.48,60.96,9.75,70.71,Tarjeta crédito,Female,Normal
T-100034,25/01/26,15:42,Progreso de Obregón,Detergente,Limpieza,1,74.29,74.29,11.89,86.18,Tarjeta crédito,Male,Normal
T-100034,25/01/26,15:42,Progreso de Obregón,Cerveza,Bebidas,3,27.24,81.72,13.08,94.8,Tarjeta crédito,Male,Normal
T-100034,25/01/26,15:42,Progreso de Obregón,Refresco,Bebidas,4,16.42,65.68,10.51,76.19,Tarjeta crédito,Male,Normal
T-100034,25/01/26,15:42,Progreso de Obregón,Queso,Lácteos,3,51.85,155.55,24.89,180.44,Tarjeta crédito,Male,Normal
T-100034,25/01/26,15:42,Progreso de Obregón,Arroz,Abarrotes,4,25.34,101.36,16.22,117.58,Tarjeta crédito,Male,Normal
T-100035,26/02/26,19:13,Progreso de Obregón,Cerveza,Bebidas,3,23.36,70.08,11.21,81.29,Tarjeta débito,Male,Member
T-100035,26/02/26,19:13,Progreso de Obregón,Pan blanco,Panadería,2,34.68,69.36,11.1,80.46,Tarjeta débito,Male,Member
T-100035,26/02/26,19:13,Progreso de Obregón,Galletas,Snacks,3,24.77,74.31,11.89,86.2,Tarjeta débito,Male,Member
T-100035,26/02/26,19:13,Progreso de Obregón,Refresco,Bebidas,2,18.67,37.34,5.97,43.31,Tarjeta débito,Male,Member
T-100036,19/01/26,9:02,Progreso de Obregón,Arroz,Abarrotes,4,30.3,121.2,19.39,140.59,Efectivo,Female,Member
T-100036,19/01/26,9:02,Progreso de Obregón,Galletas,Snacks,2,25.7,51.4,8.22,59.62,Efectivo,Female,Member
T-100036,19/01/26,9:02,Progreso de Obregón,Yogurt,Lácteos,4,16.36,65.44,10.47,75.91,Efectivo,Female,Member
T-100036,19/01/26,9:02,Progreso de Obregón,Arroz,Abarrotes,4,30.14,120.56,19.29,139.85,Efectivo,Female,Member
T-100036,19/01/26,9:02,Progreso de Obregón,Refresco,Bebidas,2,18.3,36.6,5.86,42.46,Efectivo,Female,Member
T-100037,25/03/26,20:00,Progreso de Obregón,Refresco,Bebidas,2,19.2,38.4,6.14,44.54,Tarjeta crédito,Male,Normal
T-100037,25/03/26,20:00,Progreso de Obregón,Queso,Lácteos,4,51.43,205.72,32.92,238.64,Tarjeta crédito,Male,Normal
T-100037,25/03/26,20:00,Progreso de Obregón,Leche,Lácteos,2,20.15,40.3,6.45,46.75,Tarjeta crédito,Male,Normal
T-100037,25/03/26,20:00,Progreso de Obregón,Pan blanco,Panadería,4,36.68,146.72,23.48,170.2,Tarjeta crédito,Male,Normal
T-100037,25/03/26,20:00,Progreso de Obregón,Huevo,Abarrotes,4,41.35,165.4,26.46,191.86,Tarjeta crédito,Male,Normal
T-100038,27/03/26,17:35,Progreso de Obregón,Frijol,Abarrotes,4,30.56,122.24,19.56,141.8,Tarjeta débito,Female,Normal
T-100038,27/03/26,17:35,Progreso de Obregón,Huevo,Abarrotes,4,46.82,187.28,29.96,217.24,Tarjeta débito,Female,Normal
T-100038,27/03/26,17:35,Progreso de Obregón,Arroz,Abarrotes,3,25.57,76.71,12.27,88.98,Tarjeta débito,Female,Normal
T-100039,01/02/26,19:17,Progreso de Obregón,Cerveza,Bebidas,4,23.65,94.6,15.14,109.74,Tarjeta débito,Female,Member
T-100039,01/02/26,19:17,Progreso de Obregón,Pan blanco,Panadería,3,37.91,113.73,18.2,131.93,Tarjeta débito,Female,Member
T-100039,01/02/26,19:17,Progreso de Obregón,Refresco,Bebidas,3,18.42,55.26,8.84,64.1,Tarjeta débito,Female,Member
T-100039,01/02/26,19:17,Progreso de Obregón,Papel higiénico,Limpieza,3,56.96,170.88,27.34,198.22,Tarjeta débito,Female,Member
T-100039,01/02/26,19:17,Progreso de Obregón,Frijol,Abarrotes,1,31.14,31.14,4.98,36.12,Tarjeta débito,Female,Member
T-100040,18/01/26,11:14,Progreso de Obregón,Pan blanco,Panadería,4,35.68,142.72,22.84,165.56,Efectivo,Male,Member
T-100040,18/01/26,11:14,Progreso de Obregón,Detergente,Limpieza,3,75.02,225.06,36.01,261.07,Efectivo,Male,Member
T-100040,18/01/26,11:14,Progreso de Obregón,Frijol,Abarrotes,4,32.86,131.44,21.03,152.47,Efectivo,Male,Member
T-100041,23/02/26,9:13,Progreso de Obregón,Queso,Lácteos,4,51.83,207.32,33.17,240.49,Tarjeta crédito,Female,Member
T-100041,23/02/26,9:13,Progreso de Obregón,Arroz,Abarrotes,1,27.3,27.3,4.37,31.67,Tarjeta crédito,Female,Member
T-100041,23/02/26,9:13,Progreso de Obregón,Papel higiénico,Limpieza,3,63.6,190.8,30.53,221.33,Tarjeta crédito,Female,Member
T-100041,23/02/26,9:13,Progreso de Obregón,Queso,Lácteos,4,53.85,215.4,34.46,249.86,Tarjeta crédito,Female,Member
T-100041,23/02/26,9:13,Progreso de Obregón,Detergente,Limpieza,2,69.38,138.76,22.2,160.96,Tarjeta crédito,Female,Member
T-100042,04/03/26,12:17,Progreso de Obregón,Papel higiénico,Limpieza,4,56.41,225.64,36.1,261.74,Efectivo,Male,Normal
T-100042,04/03/26,12:17,Progreso de Obregón,Yogurt,Lácteos,2,14.15,28.3,4.53,32.83,Efectivo,Male,Normal
T-100042,04/03/26,12:17,Progreso de Obregón,Arroz,Abarrotes,2,29.07,58.14,9.3,67.44,Efectivo,Male,Normal
T-100042,04/03/26,12:17,Progreso de Obregón,Sabritas,Snacks,1,20.41,20.41,3.27,23.68,Efectivo,Male,Normal
T-100042,04/03/26,12:17,Progreso de Obregón,Detergente,Limpieza,1,76.78,76.78,12.28,89.06,Efectivo,Male,Normal
T-100043,11/01/26,19:27,Progreso de Obregón,Leche,Lácteos,3,23.94,71.82,11.49,83.31,Efectivo,Female,Member
T-100043,11/01/26,19:27,Progreso de Obregón,Detergente,Limpieza,3,79.14,237.42,37.99,275.41,Efectivo,Female,Member
T-100043,11/01/26,19:27,Progreso de Obregón,Refresco,Bebidas,4,16.66,66.64,10.66,77.3,Efectivo,Female,Member
T-100044,11/02/26,14:48,Progreso de Obregón,Cerveza,Bebidas,1,24.24,24.24,3.88,28.12,Tarjeta crédito,Female,Normal
T-100044,11/02/26,14:48,Progreso de Obregón,Arroz,Abarrotes,1,27.64,27.64,4.42,32.06,Tarjeta crédito,Female,Normal
T-100044,11/02/26,14:48,Progreso de Obregón,Yogurt,Lácteos,1,14.69,14.69,2.35,17.04,Tarjeta crédito,Female,Normal
T-100045,14/02/26,12:41,Progreso de Obregón,Refresco,Bebidas,2,18.61,37.22,5.96,43.18,Efectivo,Male,Member
T-100045,14/02/26,12:41,Progreso de Obregón,Leche,Lácteos,2,23.72,47.44,7.59,55.03,Efectivo,Male,Member
T-100045,14/02/26,12:41,Progreso de Obregón,Refresco,Bebidas,2,17.3,34.6,5.54,40.14,Efectivo,Male,Member
T-100045,14/02/26,12:41,Progreso de Obregón,Arroz,Abarrotes,1,28.29,28.29,4.53,32.82,Efectivo,Male,Member
T-100045,14/02/26,12:41,Progreso de Obregón,Sabritas,Snacks,2,21.16,42.32,6.77,49.09,Efectivo,Male,Member
T-100046,01/03/26,20:16,Progreso de Obregón,Queso,Lácteos,2,49.16,98.32,15.73,114.05,Tarjeta débito,Male,Member
T-100046,01/03/26,20:16,Progreso de Obregón,Cerveza,Bebidas,1,23.34,23.34,3.73,27.07,Tarjeta débito,Male,Member
T-100046,01/03/26,20:16,Progreso de Obregón,Sabritas,Snacks,1,19.9,19.9,3.18,23.08,Tarjeta débito,Male,Member
T-100046,01/03/26,20:16,Progreso de Obregón,Cerveza,Bebidas,4,22.78,91.12,14.58,105.7,Tarjeta débito,Male,Member
T-100047,20/02/26,20:12,Progreso de Obregón,Yogurt,Lácteos,3,16.33,48.99,7.84,56.83,Efectivo,Male,Member
T-100047,20/02/26,20:12,Progreso de Obregón,Galletas,Snacks,1,22.87,22.87,3.66,26.53,Efectivo,Male,Member
T-100047,20/02/26,20:12,Progreso de Obregón,Queso,Lácteos,1,49.38,49.38,7.9,57.28,Efectivo,Male,Member
T-100048,14/02/26,17:27,Progreso de Obregón,Leche,Lácteos,4,22.13,88.52,14.16,102.68,Tarjeta débito,Male,Normal
T-100048,14/02/26,17:27,Progreso de Obregón,Arroz,Abarrotes,1,30.72,30.72,4.92,35.64,Tarjeta débito,Male,Normal
T-100048,14/02/26,17:27,Progreso de Obregón,Detergente,Limpieza,3,69.99,209.97,33.6,243.57,Tarjeta débito,Male,Normal
T-100048,14/02/26,17:27,Progreso de Obregón,Galletas,Snacks,4,23.07,92.28,14.76,107.04,Tarjeta débito,Male,Normal
T-100049,20/01/26,15:11,Progreso de Obregón,Arroz,Abarrotes,4,25.25,101,16.16,117.16,Tarjeta débito,Female,Normal
T-100049,20/01/26,15:11,Progreso de Obregón,Yogurt,Lácteos,3,13.97,41.91,6.71,48.62,Tarjeta débito,Female,Normal
T-100049,20/01/26,15:11,Progreso de Obregón,Papel higiénico,Limpieza,2,56.49,112.98,18.08,131.06,Tarjeta débito,Female,Normal
